Temperature,Year,Statistics,Country,ISO3
13.2673,1915,Aug Average,Uruguay,URY
12.175999999999998,1916,Aug Average,Uruguay,URY
10.648,1917,Aug Average,Uruguay,URY
12.3553,1918,Aug Average,Uruguay,URY
11.4262,1919,Aug Average,Uruguay,URY
11.9761,1920,Aug Average,Uruguay,URY
11.7045,1921,Aug Average,Uruguay,URY
11.699000000000002,1922,Aug Average,Uruguay,URY
11.8676,1923,Aug Average,Uruguay,URY
10.3468,1924,Aug Average,Uruguay,URY
13.5138,1925,Aug Average,Uruguay,URY
13.4854,1926,Aug Average,Uruguay,URY
13.2634,1927,Aug Average,Uruguay,URY
11.3681,1928,Aug Average,Uruguay,URY
